chunk_id,content,content_length,source
0,Build a RAG agent with LangChain - Docs by LangChainSkip to main contentDocs by LangChain home pageLangChain + LangGraphSearch...⌘KAsk AIGitHubTry LangSmithTry LangSmithSearch...NavigationLangChainBuild a RAG agent with LangChainLangChainLangGraphDeep AgentsIntegrationsLearnReferenceContributePythonLearnTutorialsLangChainSemantic searchRAG agentSQL agentSupervisor agentLangGraphConceptual overviewsComponent architectureMemoryContextGraph APIFunctional APIAdditional resourcesLangChain AcademyCase studiesOn this pageOverviewConceptsPreviewSetupInstallationLangSmithComponents1. IndexingLoading documentsSplitting documentsStoring documents2. Retrieval and GenerationRAG agentsRAG chainsNext stepsTutorialsLangChainBuild a RAG agent with LangChainCopy pageCopy page​Overview,781,https://python.langchain.com/docs/tutorials/rag/
1,"One of the most powerful applications enabled by LLMs is sophisticated question-answering (Q&A) chatbots. These are applications that can answer questions about specific source information. These applications use a technique known as Retrieval Augmented Generation, or RAG.
This tutorial will show how to build a simple Q&A application over an unstructured text data source. We will demonstrate:",395,https://python.langchain.com/docs/tutorials/rag/
2,"A RAG agent that executes searches with a simple tool. This is a good general-purpose implementation.
A two-step RAG chain that uses just a single LLM call per query. This is a fast and effective method for simple queries.

​Concepts
We will cover the following concepts:


Indexing: a pipeline for ingesting data from a source and indexing it. This usually happens in a separate process.


Retrieval and generation: the actual RAG process, which takes the user query at run time and retrieves the relevant data from the index, then passes that to the model.",560,https://python.langchain.com/docs/tutorials/rag/
3,"Once we’ve indexed our data, we will use an agent as our orchestration framework to implement the retrieval and generation steps.
The indexing portion of this tutorial will largely follow the semantic search tutorial.If your data is already available for search (i.e., you have a function to execute a search), or you’re comfortable with the content from that tutorial, feel free to skip to the section on retrieval and generation
​Preview
In this guide we’ll build an app that answers questions about the website’s content. The specific website we will use is the LLM Powered Autonomous Agents blog post by Lilian Weng, which allows us to ask questions about the contents of the post.
We can create a simple indexing pipeline and RAG chain to do this in ~40 lines of code. See below for the full code snippet:
Expand for full code snippetCopyimport bs4
from langchain.agents import AgentState, create_agent
from langchain_community.document_loaders import WebBaseLoader",980,https://python.langchain.com/docs/tutorials/rag/
4,"from langchain_community.document_loaders import WebBaseLoader
from langchain.messages import MessageLikeRepresentation
from langchain_text_splitters import RecursiveCharacterTextSplitter",187,https://python.langchain.com/docs/tutorials/rag/
5,"# Load and chunk contents of the blog
loader = WebBaseLoader(
    web_paths=(""https://lilianweng.github.io/posts/2023-06-23-agent/"",),
    bs_kwargs=dict(
        parse_only=bs4.SoupStrainer(
            class_=(""post-content"", ""post-title"", ""post-header"")
        )
    ),
)
docs = loader.load()

text_splitter = RecursiveCharacterTextSplitter(chunk_size=1000, chunk_overlap=200)
all_splits = text_splitter.split_documents(docs)

# Index chunks
_ = vector_store.add_documents(documents=all_splits)

# Construct a tool for retrieving context
@tool(response_format=""content_and_artifact"")
def retrieve_context(query: str):
    """"""Retrieve information to help answer a query.""""""
    retrieved_docs = vector_store.similarity_search(query, k=2)
    serialized = ""\n\n"".join(
        (f""Source: {doc.metadata}\nContent: {doc.page_content}"")
        for doc in retrieved_docs
    )
    return serialized, retrieved_docs",913,https://python.langchain.com/docs/tutorials/rag/
6,"tools = [retrieve_context]
# If desired, specify custom instructions
prompt = (
    ""You have access to a tool that retrieves context from a blog post. ""
    ""Use the tool to help answer user queries.""
)
agent = create_agent(model, tools, system_prompt=prompt)
Copyquery = ""What is task decomposition?""
for step in agent.stream(
    {""messages"": [{""role"": ""user"", ""content"": query}]},
    stream_mode=""values"",
):
    step[""messages""][-1].pretty_print()
Copy================================ Human Message =================================

What is task decomposition?
================================== Ai Message ==================================
Tool Calls:
  retrieve_context (call_xTkJr8njRY0geNz43ZvGkX0R)
 Call ID: call_xTkJr8njRY0geNz43ZvGkX0R
  Args:
    query: task decomposition
================================= Tool Message =================================
Name: retrieve_context",893,https://python.langchain.com/docs/tutorials/rag/
7,"Source: {'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/'}
Content: Task decomposition can be done by...

Source: {'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/'}
Content: Component One: Planning...
================================== Ai Message ==================================

Task decomposition refers to...
Check out the LangSmith trace.
​Setup
​Installation
This tutorial requires these langchain dependencies:
pipuvcondaCopypip install langchain langchain-text-splitters langchain-community bs4",540,https://python.langchain.com/docs/tutorials/rag/
8,"For more details, see our Installation guide.
​LangSmith
Many of the applications you build with LangChain will contain multiple steps with multiple invocations of LLM calls. As these applications get more complex, it becomes crucial to be able to inspect what exactly is going on inside your chain or agent. The best way to do this is with LangSmith.
After you sign up at the link above, make sure to set your environment variables to start logging traces:
Copyexport LANGSMITH_TRACING=""true""
export LANGSMITH_API_KEY=""...""

Or, set them in Python:
Copyimport getpass
import os

os.environ[""LANGSMITH_TRACING""] = ""true""
os.environ[""LANGSMITH_API_KEY""] = getpass.getpass()",674,https://python.langchain.com/docs/tutorials/rag/
9,"os.environ[""LANGSMITH_TRACING""] = ""true""
os.environ[""LANGSMITH_API_KEY""] = getpass.getpass()

​Components
We will need to select three components from LangChain’s suite of integrations.
Select a chat model:
 OpenAI Anthropic Azure Google Gemini AWS Bedrock👉 Read the OpenAI chat model integration docsCopypip install -U ""langchain[openai]""
init_chat_modelModel ClassCopyimport os
from langchain.chat_models import init_chat_model

os.environ[""OPENAI_API_KEY""] = ""sk-...""

model = init_chat_model(""gpt-4.1"")

Select an embeddings model:
 OpenAI Azure Google Gemini Google Vertex AWS HuggingFace Ollama Cohere MistralAI Nomic NVIDIA Voyage AI IBM watsonx Fake IsaacusCopypip install -U ""langchain-openai""
Copyimport getpass
import os

if not os.environ.get(""OPENAI_API_KEY""):
    os.environ[""OPENAI_API_KEY""] = getpass.getpass(""Enter API key for OpenAI: "")

from langchain_openai import OpenAIEmbeddings

embeddings = OpenAIEmbeddings(model=""text-embedding-3-large"")",971,https://python.langchain.com/docs/tutorials/rag/
10,"embeddings = OpenAIEmbeddings(model=""text-embedding-3-large"")

Select a vector store:
 In-memory AstraDB Chroma FAISS Milvus MongoDB PGVector PGVectorStore Pinecone QdrantCopypip install -U ""langchain-core""
Copyfrom langchain_core.vectorstores import InMemoryVectorStore

vector_store = InMemoryVectorStore(embeddings)

​1. Indexing
This section is an abbreviated version of the content in the semantic search tutorial.If your data is already indexed and available for search (i.e., you have a function to execute a search), or if you’re comfortable with document loaders, embeddings, and vector stores, feel free to skip to the next section on retrieval and generation.
Indexing commonly works as follows:",710,https://python.langchain.com/docs/tutorials/rag/
11,"Load: First we need to load our data. This is done with Document Loaders.
Split: Text splitters break large Documents into smaller chunks. This is useful both for indexing data and passing it into a model, as large chunks are harder to search over and won’t fit in a model’s finite context window.
Store: We need somewhere to store and index our splits, so that they can be searched over later. This is often done using a VectorStore and Embeddings model.",459,https://python.langchain.com/docs/tutorials/rag/
12,"​Loading documents
We need to first load the blog post contents. We can use DocumentLoaders for this, which are objects that load in data from a source and return a list of Document objects.
In this case we’ll use the WebBaseLoader, which uses urllib to load HTML from web URLs and BeautifulSoup to parse it to text. We can customize the HTML -> text parsing by passing in parameters into the BeautifulSoup parser via bs_kwargs (see BeautifulSoup docs). In this case only HTML tags with class “post-content”, “post-title”, or “post-header” are relevant, so we’ll remove all others.
Copyimport bs4
from langchain_community.document_loaders import WebBaseLoader

# Only keep post title, headers, and content from the full HTML.
bs4_strainer = bs4.SoupStrainer(class_=(""post-title"", ""post-header"", ""post-content""))
loader = WebBaseLoader(
    web_paths=(""https://lilianweng.github.io/posts/2023-06-23-agent/"",),
    bs_kwargs={""parse_only"": bs4_strainer},
)
docs = loader.load()",993,https://python.langchain.com/docs/tutorials/rag/
